2026-05-01 22:46:34,678 | INFO | generate_intermediate_figures | Loading dataset for plotting from C:\Users\eniko\Documents\coding_projects\bank-customer-churn-ml\data\raw\Bank Customer Churn Prediction.csv
2026-05-01 22:46:34,899 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-05-01 22:46:34,917 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-05-01 22:46:35,638 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-05-01 22:46:35,642 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-05-01 22:46:35,857 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-05-01 22:46:35,870 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-05-01 22:46:36,155 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-05-01 22:46:36,166 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-05-01 22:46:36,425 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-05-01 22:46:36,443 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-05-01 22:46:36,945 | INFO | generate_intermediate_figures | Generated 8 initial figures in C:\Users\eniko\Documents\coding_projects\bank-customer-churn-ml\reports\figures\intermediate
2026-05-01 22:46:36,945 | INFO | generate_intermediate_figures | Saved figure: C:\Users\eniko\Documents\coding_projects\bank-customer-churn-ml\reports\figures\intermediate\target_distribution.png
2026-05-01 22:46:36,945 | INFO | generate_intermediate_figures | Saved figure: C:\Users\eniko\Documents\coding_projects\bank-customer-churn-ml\reports\figures\intermediate\churn_by_country.png
2026-05-01 22:46:36,945 | INFO | generate_intermediate_figures | Saved figure: C:\Users\eniko\Documents\coding_projects\bank-customer-churn-ml\reports\figures\intermediate\churn_by_gender.png
2026-05-01 22:46:36,945 | INFO | generate_intermediate_figures | Saved figure: C:\Users\eniko\Documents\coding_projects\bank-customer-churn-ml\reports\figures\intermediate\churn_by_active_member.png
2026-05-01 22:46:36,945 | INFO | generate_intermediate_figures | Saved figure: C:\Users\eniko\Documents\coding_projects\bank-customer-churn-ml\reports\figures\intermediate\churn_by_products_number.png
2026-05-01 22:46:36,955 | INFO | generate_intermediate_figures | Saved figure: C:\Users\eniko\Documents\coding_projects\bank-customer-churn-ml\reports\figures\intermediate\age_vs_churn.png
2026-05-01 22:46:36,955 | INFO | generate_intermediate_figures | Saved figure: C:\Users\eniko\Documents\coding_projects\bank-customer-churn-ml\reports\figures\intermediate\balance_vs_churn.png
2026-05-01 22:46:36,958 | INFO | generate_intermediate_figures | Saved figure: C:\Users\eniko\Documents\coding_projects\bank-customer-churn-ml\reports\figures\intermediate\correlation_heatmap.png
2026-05-01 22:46:36,960 | INFO | generate_intermediate_figures | Saved summary table: C:\Users\eniko\Documents\coding_projects\bank-customer-churn-ml\reports\metrics\eda_overview.csv
2026-05-01 22:46:36,962 | INFO | generate_intermediate_figures | Saved summary table: C:\Users\eniko\Documents\coding_projects\bank-customer-churn-ml\reports\metrics\eda_missing_values.csv
2026-05-01 22:46:36,964 | INFO | generate_intermediate_figures | Saved summary table: C:\Users\eniko\Documents\coding_projects\bank-customer-churn-ml\reports\metrics\eda_numeric_summary.csv
2026-05-01 22:46:36,965 | INFO | generate_intermediate_figures | Saved summary table: C:\Users\eniko\Documents\coding_projects\bank-customer-churn-ml\reports\metrics\eda_categorical_summary.csv
